qgi	qacc	qlen	sgi	sacc	slen	pident	score1	score2	evalue	tax_id	stitle	superkingdom	phylum	class	order	family	genus	species
0	gi|29566979|ref|NP_818542.1|	127	1123635965	WP_074322760	91	59.3	51	101	1e-24	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566980|ref|NP_818543.1|	108	1173548598	WP_081290843	116	57.52	65	122	4e-33	1790	hypothetical protein [Mycobacterium asiaticum]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium asiaticum
0	gi|29566980|ref|NP_818543.1|	108	1316615703	WP_101312226	116	48.65	54	103	9e-26	418031	hypothetical protein [Mycobacterium sp. MHSD3]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium sp. MHSD3
0	gi|29566980|ref|NP_818543.1|	108	1167827708	WP_080139848	118	49.55	55	102	3e-25	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566980|ref|NP_818543.1|	108	1123796529	WP_074344893	113	48.21	54	100	1e-24	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566980|ref|NP_818543.1|	108	1160740736	WP_079599413	103	70.73	29	68.6	2e-12	36809	hypothetical protein [Mycobacterium abscessus]	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium abscessus
0	gi|29566981|ref|NP_818544.1|	581	748713899	WP_039972019	467	26.39	138	120	8e-26	51101	terminase [Brevibacillus agri]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus agri
0	gi|29566981|ref|NP_818544.1|	581	517940790	WP_019110998	437	25.54	129	120	1e-25	1009417	hypothetical protein [Verrucomicrobia bacterium SCGC AAA164-L15]	Bacteria	Verrucomicrobia					Verrucomicrobia bacterium SCGC AAA164-L15
0	gi|29566981|ref|NP_818544.1|	581	1174056802	WP_081414708	463	26.39	138	120	1e-25	1071072	terminase [Bacillus sp. NSP2.1]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. NSP2.1
0	gi|29566981|ref|NP_818544.1|	581	737313105	WP_035295956	467	26.3	137	118	6e-25	33942	terminase [Brevibacillus thermoruber]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus thermoruber
0	gi|29566981|ref|NP_818544.1|	581	1175516967	WP_082059608	463	26.2	136	117	1e-24	33936	terminase [Aeribacillus pallidus]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Aeribacillus	Aeribacillus pallidus
0	gi|29566981|ref|NP_818544.1|	581	506372098	WP_015891817	469	25.44	130	116	2e-24	1393	terminase [Brevibacillus brevis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
0	gi|29566981|ref|NP_818544.1|	581	494993520	WP_007719536	469	26.15	137	115	6e-24	1144308	terminase [Brevibacillus sp. BC25]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. BC25
0	gi|29566981|ref|NP_818544.1|	581	850382498	WP_048033508	465	24.75	126	114	9e-24	1393	terminase [Brevibacillus brevis]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus brevis
0	gi|29566981|ref|NP_818544.1|	581	947834602	WP_056495849	422	25.73	124	108	7e-22	1736290	terminase, partial [Brevibacillus sp. Leaf182]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. Leaf182
0	gi|29566981|ref|NP_818544.1|	581	947825277	WP_056486605	422	25.42	122	106	3e-21	1736290	terminase, partial [Brevibacillus sp. Leaf182]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	Brevibacillus sp. Leaf182
0	gi|29566981|ref|NP_818544.1|	581	951584982	WP_057898502	463	25.49	131	103	5e-20	1450761	terminase [Aneurinibacillus sp. XH2]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus sp. XH2
0	gi|29566981|ref|NP_818544.1|	581	823689806	WP_047103073	414	25.75	111	102	9e-20	663	terminase [Vibrio alginolyticus]	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio alginolyticus
0	gi|29566981|ref|NP_818544.1|	581	759011419	WP_043070662	482	24.14	134	100	5e-19	47500	terminase [Aneurinibacillus migulanus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
0	gi|29566981|ref|NP_818544.1|	581	759003821	WP_043063241	481	24.05	133	100	6e-19	47500	terminase [Aneurinibacillus migulanus]	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus migulanus
0	gi|29566981|ref|NP_818544.1|	581	920558006	WP_053001076	411	31.19	63	97.8	2e-18	1330330	hypothetical protein [Kosmotoga pacifica]	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Kosmotoga	Kosmotoga pacifica
0	gi|29566981|ref|NP_818544.1|	581	515112520	WP_016741578	482	24.29	128	96.3	1e-17	1679167	hypothetical protein [Bacillus sp. FJAT-27238]	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. FJAT-27238
